Titre,Est tête d'arborescence,Terme Générique,Verbalisation française,Description   
Audiology & Speech-Language Pathology,n/a,Science Citation Index Expanded,Audiologie & Orthophonie,"Audiology & Speech-Language Pathology covers resources on the basic science and clinical research aspects of speech, language, communication and hearing disorders. This category will also cover all areas of audiology as well as clinical management (diagnosis, prevention and treatment) of the above disorders.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Automation & Control Systems,n/a,Science Citation Index Expanded,Automatisation & Systèmes de commande,"Automation & Control Systems covers resources on the design and development of processes and systems that minimize the necessity of human intervention. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/ Resources in this category cover control theory, control engineering, and laboratory and manufacturing automation. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Behavioral Sciences,n/a,Science Citation Index Expanded,Sciences du comportement,"Behavioral Sciences covers resources dealing with the biological correlates of observable action in humans or animals. These include aggression, sexual behavior, and learning as well as the various factors, natural or pharmacological, that alter such behaviors. Resources in this category cover neurobiology, experimental psychology, ethology, cognitive assessment, and behavioral consequences of neurological disorders.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Biochemical Research Methods,n/a,Science Citation Index Expanded,Méthodes de recherches biochimiques,"Biochemical Research Methods includes resources that describe specific techniques used in biological and biochemical research, including methods for the purification and analysis of biomolecules, the observation of the structure or function of living organisms and tissues (exclusive of microscopy), and the alteration of biomolecules for specific research applications. This category does not cover clinical applications or the development and design of diagnostic tools. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/ "
Biochemistry & Molecular Biology,n/a,Science Citation Index Expanded,Biochimie & Biologie moléculaire,"Biochemistry & Molecular Biology covers resources on general biochemistry and molecular biology topics such as carbohydrates, lipids, proteins, nucleic acids, genes, drugs, toxic substances, and other chemical or molecular constituents of cells, microbes, and higher plants and animals, including humans. Excluded are resources that are focus on biochemistry in cells, tissues or organs and those whose primary focus is the organism of study, e.g. plants, microbes, etc. Excluded, also, are resources that focus on methods in biochemistry or molecular biology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Biodiversity Conservation,n/a,Science Citation Index Expanded,Préservation de la biodiversité,"Biodiversity Conservation covers resources on the conservation management of species and ecosystems. Topics include conservation ecology, biological conservation, paleobiology, natural history and the natural sciences. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Biology,n/a,Science Citation Index Expanded,Biologie,"The Biology category includes resources having a broad or interdisciplinary approach to biology. In addition, it includes materials that cover a specific area of biology not covered in other categories such as theoretical biology, mathematical biology, thermal biology, cryobiology, and biological rhythm research. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Biophysics,n/a,Science Citation Index Expanded,Biophysique,"Biophysics covers resources that focus on the transfer and effects of physical forces and energy-light, sound, electricity, magnetism, heat, cold, pressure, mechanical forces, and radiation-within and on cells, tissues, and whole organisms. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Biotechnology & Applied Microbiology,n/a,Science Citation Index Expanded,Biotechnologie & Microbiologie appliquée,"Biotechnology & Applied Microbiology includes resources that cover a broad range of topics on the manipulation of living organisms to make products or solve problems to meet human needs. Topics include genetic engineering; molecular diagnostic and therapeutic techniques; genome data mining; bioprocessing of food and drugs; biological control of pests; environmental bioremediation; and bio-energy production. This category also covers resources that deal with the related social, business, and regulatory issues. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Cardiac & Cardiovascular Systems,n/a,Science Citation Index Expanded,Systèmes cardiaque et cardiovasculaire,"Cardiac & Cardiovascular Systems covers resources dealing with the diagnosis and treatment of heart disease. Coverage focuses on cardiac disease prevention, pharmacology, surgery, transplantation, and research. This category also includes cardiac testing, pacemakers, and medical devices. Resources focusing on circulation, hypertension, arterial disease, and stroke are placed in the PERIPHERAL VASCULAR DISEASE category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Cell Biology,n/a,Science Citation Index Expanded,Biologie cellulaire,"Cell Biology includes resources on all aspects of the structure and function of eukaryotic cells. The principle characteristic of resources in this category is an emphasis on the integration at the cellular level of biochemical, molecular, genetic, physiological, and pathological information. This category considers material on specific tissues, differentiated as well as embryonic. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Cell & Tissue Engineering,n/a,Science Citation Index Expanded,Génie cellulaire et tissulaire,"Cell & Tissue Engineering covers resources that apply technology to the chemical, mechanical, and electrical alteration or preparation of cells and tissues. Cell regions that can be redesigned and manipulated include: the membrane, receptors, cytoplasm, cytoskeleton, genes, and matrix. Resources in this category span a range of technologies including: engineering regeneration of nerve, adipose or endothelial tissue; developing various types of engineered stem cells; and biomechanical aspects of engineered tissue/cells. This category does not include resources on clinical interventions. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Chemistry, Analytical",n/a,Science Citation Index Expanded,"Chimie, Analytique","Chemistry, Analytical covers resources on the techniques that yield any type of information about chemical systems. Topics include chromatography, thermal analysis, chemometrics, separation techniques, pyrolysis, and electroanalytical and radioanalytical chemistry. Some spectroscopy resources may be included in this category when focusing on analytical techniques and applications in chemistry. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Chemistry, Applied",n/a,Science Citation Index Expanded,"Chimie, Appliquée","Chemistry, Applied covers resources that report on the application of basic chemical sciences to other sciences, engineering, and industry. Topics include chemical engineering (catalysis, fuel processing, microencapsulation, and functional polymers); food science and technology (cereals, hydrocolloids, and food additives); medicinal chemistry (pharmacology); dyes and pigments; coatings technology; and cosmetics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Chemistry, Inorganic & Nuclear",n/a,Science Citation Index Expanded,"Chimie, Inorganique & Nucléaire","Chemistry, Inorganic & Nuclear includes resources on both inorganic and nuclear chemistry. Chemistry, Inorganic covers resources that are concerned with non-carbon elements and the preparation, properties, and reactions of their compounds. It also includes resources on the study of certain simple carbon compounds, including the oxides, carbon disulfide, the halides, hydrogen cyanide, and salts, such as the cyanides, cyanates, carbonates, and hydrogencarbonates. Resources on coordination chemistry and organo-metallic compounds (those containing a carbon-metal bond) are also covered in this category. Chemistry, Nuclear includes resources on the study of the atomic nucleus, including fission and fusion reactions and their products. This category also covers radiochemistry resources focusing on such topics as the preparation of radioactive compounds, the separation of isotopes by chemical reactions, the use of radioactive labels in studies of mechanisms, and experiments on the chemical reactions and compounds of transuranic elements. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Chemistry, Medicinal",n/a,Science Citation Index Expanded,"Chimie, Médicinale","Chemistry, Medicinal includes resources emphasizing the isolation and study of substances with therapeutic potential. Topics of interest are quantitative structure-function relationships, structural characterization and organic syntheses of naturally occurring compounds, and chemical and analytical techniques used in rational drug design. See also the PHARMACOLOGY & PHARMACY category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Chemistry, Multidisciplinary",n/a,Science Citation Index Expanded,"Chimie, Multidisciplinaire","Chemistry, Multidisciplinary includes resources having a general or interdisciplinary approach to the chemical sciences. Special topic chemistry resources that have relevance to many areas of chemistry are also included in this category. Resources having a primary focus on analytical, inorganic and nuclear, organic, physical, or polymer chemistry are placed in their own categories. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Chemistry, Organic",n/a,Science Citation Index Expanded,"Chimie, Organique","Chemistry, Organic includes resources that focus on synthetic and natural organic compounds their synthesis, structure, properties, and reactivity. Research on hydrocarbons, a major area of organic chemistry, is included in this category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Chemistry, Physical",n/a,Science Citation Index Expanded,"Chimie, Physique","Chemistry, Physical includes resources on photochemistry, solid state chemistry, kinetics, catalysis, quantum chemistry, surface chemistry, electrochemistry, chemical thermodynamics, thermophysics, colloids, fullerenes, and zeolites. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Clinical Neurology,n/a,Science Citation Index Expanded,Neurologie clinique,"Clinical Neurology covers resources on all areas of clinical research and medical practice in neurology. The focus is on traditional neurological illnesses and diseases such as dementia, stroke, epilepsy, headache, multiple sclerosis, and movement disorders that have clinical and socio-economic importance. This category also includes resources on medical specialties such as pediatric neurology, neurosurgery, neuroradiology, pain management, and neuropsychiatry that affect neurological diagnosis and treatment. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Computer Science, Artificial Intelligence",n/a,Science Citation Index Expanded,"Science informatique, Intelligence artificielle","Computer Science, Artificial Intelligence covers resources that focus on research and techniques to create machines that attempt to efficiently reason, problem-solve, use knowledge representation, and perform analysis of contradictory or ambiguous information. This category includes resources on artificial intelligence technologies such as expert systems, fuzzy systems, natural language processing, speech recognition, pattern recognition, computer vision, decision-support systems, knowledge bases, and neural networks. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Computer Science, Cybernetics",n/a,Science Citation Index Expanded,"Science informatique, Cybernétique","Computer Science, Cybernetics includes resources that focus on the control and information flows within and between artificial (machine) and biological systems. Resources in this category draw from the fields of artificial intelligence, automatic control, and robotics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Computer Science, Hardware & Architecture",n/a,Science Citation Index Expanded,"Science informatique, Matériel et architecture","Computer Science, Hardware & Architecture covers resources on the physical components of a computer system: main and logic boards, internal buses and interfaces, static and dynamic memory, storage devices and storage media, power supplies, input and output devices, networking interfaces, and networking hardware such as routers and bridges. Resources in this category also cover the architecture of computing devices, such as SPARC, RISC, and CISC designs, as well as scalable, parallel, and multi-processor computing architectures. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Computer Science, Information Systems",n/a,Science Citation Index Expanded,"Science informatique, Systèmes d'information","Computer Science, Information Systems covers resources that focus on the acquisition, processing, storage, management, and dissemination of electronic information that can be read by humans, machines, or both. This category also includes resources for telecommunications systems and discipline-specific subjects such as medical informatics, chemical information processing systems, geographical information systems, and some library science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Computer Science, Interdisciplinary Applications",n/a,Science Citation Index Expanded,"Science informatique, Applications interdisciplinaires","Computer Science, Interdisciplinary Applications includes resources concerned with the application of computer technology and methodology to other disciplines, such as information management, engineering, biology, medicine, environmental studies, geosciences, arts and humanities, agriculture, chemistry, and physics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Computer Science, Software Engineering",n/a,Science Citation Index Expanded,"Science informatique, Génie logiciel","Computer Science, Software Engineering includes resources that are concerned with the programs, routines, and symbolic languages that control the functioning of the hardware and direct its operation. Also covered in this category are computer graphics, digital signal processing, and programming languages. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Computer Science, Theory & Methods",n/a,Science Citation Index Expanded,"Science informatique, Théorie & Méthodes","Computer Science, Theory & Methods includes resources that emphasize experimental computer processing methods or programming techniques such as parallel computing, distributed computing, logic programming, object-oriented programming, high-speed computing, and supercomputing. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Construction & Building Technology,n/a,Science Citation Index Expanded,Construction & Technologie du bâtiment,"Construction & Building Technology includes resources that provide information on the physical features and design of structures (e.g., buildings, dams, bridges, tunnels) and the materials used to construct them (concrete, cement, steel). Other topics covered in this category include heating and air conditioning, energy systems, and indoor air quality. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Critical Care Medicine,n/a,Science Citation Index Expanded,Médecine des soins intensifs,"Critical Care Medicine covers resources on healthcare specialties that focus on the care of patients with acute, life-threatening illness or injury. This category covers resources such as heart attack; poisoning; burns, pneumonia; surgical complications; premature birth; trauma including head trauma; stroke, and other neural injuries; intensive care anesthesia; and resuscitation. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Crystallography,n/a,Science Citation Index Expanded,Cristallographie,"Crystallography covers resources that report on the study of the formation, structure, and properties of crystals. This category also includes resources on X-ray crystallography, the study of the internal structure of crystals through the use of X-ray diffraction. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Dentistry, Oral Surgery & Medicine",n/a,Science Citation Index Expanded,"Dentisterie, Médecine et Chirurgie buccales","Dentistry, Oral Surgery & Medicine covers resources on the anatomy, physiology, biochemistry, and pathology of the teeth and oral cavity. This category includes specific resources on periodontal disease, dental implants, oral and maxillofacial surgery, oral pathology, and oral surgery. Coverage also includes resources on community dentistry, public health dentistry, and pediatric dentistry. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Dermatology ,n/a,Science Citation Index Expanded,Dermatologie,"Dermatology covers resources on the anatomy, physiology, and pathology of the skin. It contains resources on investigative and experimental dermatology, contact dermatitis, dermatologic surgery, dermatologic pathology, and dermatologic oncology. This category also includes specific resources on burns, wounds and leprosy. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Developmental Biology,n/a,Science Citation Index Expanded,Biologie du développement,"Developmental Biology includes resources focused on the specific mechanisms of cell, tissue, and organism development, as well as gametogenesis, fertilization, biochemistry and molecular genetic control of development, cell biology of gametes and zygotes, and embryology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Ecology,n/a,Science Citation Index Expanded,Ecologie,"Ecology covers resources concerning many areas relating to the study of the interrelationship of organisms and their environments, including ecological economics, ecological engineering, ecotoxicology, ecological modeling, evolutionary ecology, biogeography, chemical ecology, marine ecology, wildlife research, microbial ecology, molecular ecology, and population ecology. This category also includes general ecology resources and ones devoted to particular ecological systems. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Education, Scientific Disciplines",n/a,Science Citation Index Expanded,"Education, Disciplines scientifiques","Education, Scientific Disciplines covers all education resources in the scientific disciplines, including biology, pharmacy, biochemistry, engineering, chemistry, nutrition, and medicine. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Electrochemistry,n/a,Science Citation Index Expanded,Electrochimie,"Electrochemistry covers resources that deal with the chemical changes produced by electricity and the generation of electricity by chemical reactions. Applications include dry cells, lead plate, storage batteries, electroplating, electrodeposition (electrolysis), purification of copper, production of aluminum, fuel cells, and corrosion of metals. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Emergency Medicine,n/a,Science Citation Index Expanded,Médecine d'urgence,"Emergency Medicine covers resources on the science, education, and clinical practice of emergency medicine. Coverage spans the breadth of the specialty on trauma, pediatrics, toxicology, injury prevention and control, resuscitation, and emergency medical services. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Endocrinology & Metabolism,n/a,Science Citation Index Expanded,Endocrinologie & Métabolisme,"Endocrinology & Metabolism includes resources focused on endocrine glands; the regulation of cell, organ, and system function by the action of secreted hormones; the generation and chemical/biological properties of these substances; and the pathogenesis and treatment of disorders associated with either source or target organs. Specific areas covered include neuroendocrinology, reproductive endocrinology, pancreatic hormones and diabetes, regulation of bone formation and loss, and control of growth. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Energy & Fuels,n/a,Science Citation Index Expanded,Energie & Combustibles,"Energy & Fuels covers resources on the development, production, use, application, conversion, and management of nonrenewable (combustible) fuels (such as wood, coal, petroleum, and gas) and renewable energy sources (solar, wind, biomass, geothermal, hydroelectric). Note: Resources dealing with nuclear energy and nuclear technology appear in the NUCLEAR SCIENCE & TECHNOLOGY category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Aerospace",n/a,Science Citation Index Expanded,"Génie, Aéronautique","Engineering, Aerospace includes resources concerned with astronautics, aeronautics, aerospace, and aviation. Topics covered include the design and construction of aircraft, space vehicles, missiles, satellites, instrumentation, and power units, as well as the launch, flight, and guidance of crafts in the earth's atmosphere or in space. Resources in this category draw from many fields, including mechanics and mechanical engineering, automation, instrumentation, and materials science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Biomedical",n/a,Science Citation Index Expanded,"Génie, Biomédical","Engineering, Biomedical covers resources that apply engineering technology to solving medical problems. Resources in this category span a wide range of applications including applied biomechanics, biorheology, medical imaging, medical monitoring equipment, artificial organs, and implanted materials and devices. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Chemical",n/a,Science Citation Index Expanded,"Génie, Chimique","Engineering, Chemical covers resources that discuss the chemical conversion of raw materials into a variety of products. This category includes resources that deal with the design and operation of efficient and cost-effective plants and equipment for the production of the various end products. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Civil",n/a,Science Citation Index Expanded,"Génie, Civil","Engineering, Civil includes resources on the planning, design, construction, and maintenance of fixed structures and ground facilities for industry, occupancy, transportation, use and control of water, and harbor facilities. Resources also may cover the sub-fields of structural engineering, geotechnics, earthquake engineering, ocean engineering, water resources and supply, marine engineering, transportation engineering, and municipal engineering. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Electrical & Electronic",n/a,Science Citation Index Expanded,"Génie, Electrique & Electronique","Engineering, Electrical & Electronic covers resources that deal with the applications of electricity, generally those involving current flows through conductors, as in motors and generators. This category also includes resources that cover the conduction of electricity through gases or a vacuum as well as through semiconducting and superconducting materials. Other relevant topics in this category include image and signal processing, electromagnetics, electronic components and materials, microwave technology, and microelectronics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Environmental",n/a,Science Citation Index Expanded,"Génie, Environnemental","Engineering, Environmental includes resources that discuss the effects of human beings on the environment and the development of controls to minimize environmental degradation. Relevant topics in this category include water and air pollution control, hazardous waste management, land reclamation, pollution prevention, bioremediation, incineration, management of sludge problems, landfill and waste repository design and construction, facility decommissioning, and environmental policy and compliance. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Geological",n/a,Science Citation Index Expanded,"Génie, Géologique","Engineering, Geological includes multidisciplinary resources that encompass the knowledge and experience drawn from both the geosciences and various engineering disciplines (primarily civil engineering). Resources in this category cover geotechnical engineering, geotechnics, geotechnology, soil dynamics, earthquake engineering, geotextiles and geomembranes, engineering geology, and rock mechanics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Industrial",n/a,Science Citation Index Expanded,"Génie, Industriel","Engineering, Industrial includes resources that focus on engineering systems that integrate people, materials, capital, and equipment to provide products and services. Relevant topics covered in the category include operations research, process engineering, productivity engineering, manufacturing, computer-integrated manufacturing (CIM), industrial economics, and design engineering. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Manufacturing",n/a,Science Citation Index Expanded,"Génie, Fabrication","Engineering, Manufacturing covers resources on the conversion of raw materials into end-use products or processed materials. Topics in this category include computer-integrated manufacturing (CIM), computer-aided design (CAD), and computer-aided manufacturing (CAM); design of products, tools, and machines; quality control; scheduling; production; and inventory control. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Marine",n/a,Science Citation Index Expanded,"Génie, Maritime","Engineering, Marine includes resources that focus on the environmental and physical constraints an engineer must consider in the design, construction, navigation, and propulsion of ships and other sea vessels. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Mechanical",n/a,Science Citation Index Expanded,"Génie, Mécanique","Engineering, Mechanical includes resources on the generation, transmission, and use of heat and mechanical power, as well as with the production and operation of tools, machinery, and their products. Topics in this category include heat transfer and thermodynamics, fatigue and fracture, wear, tribology, energy conversion, hydraulics, pneumatics, microelectronics, plasticity, strain analysis, and aerosol technology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Multidisciplinary",n/a,Science Citation Index Expanded,"Génie, Multidisciplinaire","Engineering, Multidisciplinary covers resources having a general or interdisciplinary approach to engineering. Relevant topics include computer science and mathematics in engineering, engineering education, reliability studies, and audio engineering. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Ocean",n/a,Science Citation Index Expanded,"Génie, Océanique","Engineering, Ocean includes resources concerned with the development of equipment and techniques that allow humans to operate successfully beneath and on the surface of the ocean in order to develop and utilize marine resources. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Engineering, Petroleum",n/a,Science Citation Index Expanded,"Génie, Pétrolier","Engineering, Petroleum covers resources that report on a combination of engineering concepts, methods, and techniques on drilling and extracting hydrocarbons and other fluids from the earth (e.g., chemical flooding, thermal flooding, miscible displacement techniques, and horizontal drilling) and on the refining process. Relevant topics in this category include drilling engineering, production engineering, reservoir engineering, and formation evaluation, which infers reservoir properties through indirect measurements. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Entomology,n/a,Science Citation Index Expanded,Entomologie,"Entomology covers resources concerning many aspects of the study of insects, including general entomology, applied entomology, regional entomology, apidology, aquatic insects, insect biochemistry and physiology, economic entomology, integrated pest management, environmental entomology, and pesticide science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Environmental Sciences,n/a,Science Citation Index Expanded,Sciences de l'environnement,"Environmental Sciences covers resources concerning many aspects of the study of the environment, among them environmental contamination and toxicology, environmental health, environmental monitoring, environmental geology, and environmental management. This category also includes soil science and conservation, water resources research and engineering and climate change. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Evolutionary Biology,n/a,Science Citation Index Expanded,Biologie de l'évolution,"Evolutionary Biology covers resources concerning the molecular, natural selection, and population mechanisms of evolution; the evolution of species and related groups; the classification of organisms based on evolutionary relationships; and the biology and ecology of extinct organisms. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Fisheries,n/a,Science Citation Index Expanded,Pêche,"Fisheries covers resources concerning numerous aspects of fisheries science, technology and industry, including fish pathology, fish physiology and biochemistry, fish diseases and aquaculture. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Food Science & Technology,n/a,Science Citation Index Expanded,Science et Technologie alimentaires,"Food Science & Technology covers resources concerning various aspects of food research and production, including food additives and contaminants, food chemistry and biochemistry, meat science, food microbiology and technology, dairy science, food engineering and processing, cereal science, brewing, and food quality and safety. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Forestry,n/a,Science Citation Index Expanded,Sylviculture,"Forestry covers resources concerning the science and technology involved in establishing, maintaining and managing forests for various uses, including wood production, water resource management, wildlife conservation and recreation. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Gastroenterology & Hepatology,n/a,Science Citation Index Expanded,Gastroentérologie & Hépatologie,"Gastroenterology & Hepatology covers resources on the anatomy, physiology, biochemistry, and pathology of the digestive system. This category includes specific resources on the prognosis and treatment of digestive diseases; stomach ulcers; metabolic, genetic, infectious and chemically induced diseases of the liver; colitis; diseases of the pancreas and diseases of the rectum. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Genetics & Heredity,n/a,Science Citation Index Expanded,Génétique & Hérédité,"Genetics & Heredity includes resources that deal with the structure, functions, and properties of genes, and the characteristics of inheritance. This category also considers heritable traits, population genetics, frequency and distribution of polymorphism, as well as inherited diseases and disorders of the replicative process. The category is distinguishable from Biochemistry & Molecular Biology by its specific emphasis on the gene as a single functional unit, and on the gene's effect on the organism as a whole. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Geochemistry & Geophysics,n/a,Science Citation Index Expanded,Géochimie & Géophysique,"Resources in this category may focus on either Geochemistry or Geophysics or both. Geochemistry covers resources that deal with the chemical composition and chemical changes in the Earth or other planets or asteroids. Topics include research on related chemical and geological properties of substances, applied geochemistry, organic geochemistry, and biogeochemistry. Geophysics covers resources on the application of the methods and techniques of physics to the study of the structure of the Earth and the processes affecting it. Topics addressed include seismology, tectonics, tectonophysics, geomagnetism, radioactivity, and rock mechanics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
