Titre,Lbellé en français,Est tête d'arborescence,Terme Générique,Terme Spécifique, Description ,Source,Cette resource dans cat INIST
Architecture,Architecture,n/a,Built Environment & Design,n/a,"L'architecture est l'art majeur de concevoir des espaces et de bâtir des édifices, en respectant des règles de construction empiriques ou scientifiques, ainsi que des concepts esthétiques, classiques ou nouveaux, de forme et d'agencement d'espace, en y incluant les aspects sociaux et environnementaux liés à la fonction de l'édifice et à son intégration dans son environnement, quelle que soit cette fonction : habitable, sépulcrale, rituelle, institutionnelle, religieuse, défensive, artisanale, commerciale, scientifique, signalétique, muséale, industrielle, monumentale, décorative, paysagère, voire purement artistique. Source : https://fr.wikipedia.org/wiki/Architecture",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-CNH04N7C-D
Building & Construction,Bâtiments et construction,n/a,Built Environment & Design,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-CNH04N7C-D
Design Practice & Management,Pratique et gestion du design,n/a,Built Environment & Design,n/a,"Le design est la création d’un projet en vue de la réalisation et de la production d’un objet (produit, espace, service) ou d’un système, qui se situe à la croisée de l’art, de la technique et de la société. Source : https://fr.wikipedia.org/wiki/Design",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-CNH04N7C-D
Urban & Regional Planning,Urbanisme et sciences régionales,n/a,Built Environment & Design,n/a,"L’urbanisme est à la fois un champ disciplinaire et un champ professionnel recouvrant l'étude du phénomène urbain, l'action d'urbanisation et l'organisation de la ville et de ses territoires. Les personnes qui exercent ce métier sont des urbanistes. Selon les traditions académiques, cette discipline est associée tantôt à l'architecture, tantôt à la géographie, selon l'aspect mis en avant, l'intervention urbaine ou l'étude théorique. Source : https://fr.wikipedia.org/wiki/Urbanisme",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-CNH04N7C-D
Enabling & Strategic Technologies,Technologies stratégiques & habilitantes,n/a,Applied Sciences,"Bioinformatics ; Biotechnology ; Energy ; Materials ;  Nanoscience & Nanotechnology ; Optoelectronics & Photonics ; Optoelectronics & Photonics ; Strategic, Defence & Security Studies",n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-CNH04N7C-D
Bioinformatics,Bioinformatique,n/a,Enabling & Strategic Technologies,n/a,"La bio-informatique est un champ de recherche multi-disciplinaire où travaillent de concert biologistes, médecins, informaticiens, mathématiciens, physiciens et bioinformaticiens, dans le but de résoudre un problème scientifique posé par la biologie. Source : https://fr.wikipedia.org/wiki/Bio-informatique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-H8KDKL70-Z
Biotechnology,Biotechnologie,n/a,Enabling & Strategic Technologies,n/a,L'OCDE définit la biotechnologie comme « l'application des principes scientifiques et de l'ingénierie à la transformation de matériaux par des agents biologiques pour produire des biens et services ». Source : https://fr.wikipedia.org/wiki/Biotechnologie,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-W42P6WK6-Z
Energy,Énergie,n/a,Enabling & Strategic Technologies,n/a,"L'énergie est définie en physique comme la capacité d'un système à produire un travail, entraînant un mouvement ou produisant par exemple de la lumière, de la chaleur ou de l’électricité. C'est une grandeur physique qui caractérise l'état d'un système et qui est d'une manière globale conservée au cours des transformations. L'énergie s'exprime en joules(dans le système international d'unités) ou souvent en kilowatts-heures(kW·h ou kWh). Source :  https://fr.wikipedia.org/wiki/Énergie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-Q22Q6WWK-2
Materials,Matériaux,n/a,Enabling & Strategic Technologies,n/a,"Un matériau désigne toute matière utilisée pour réaliser un objet au sens large. Ce dernier est souvent une pièce d'un sous-ensemble. C'est donc une matière de base sélectionnée en raison de propriétés particulières et mise en œuvre en vue d'un usage spécifique. La nature chimique, la forme physique (phases en présence, granulométrie et forme des particules, par exemple), l'état de surface des différentes matières premières, qui sont à la base des matériaux, leur confèrent des propriétés particulières. On distingue ainsi quatre grandes familles de matériaux. Source : https://fr.wikipedia.org/wiki/Matériau",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-45WJXJV9-2
Nanoscience & Nanotechnology,Nanoscience et nanotechnologie,n/a,Enabling & Strategic Technologies,n/a,"Les nanosciences et nanotechnologies (d’après le grec νάνος nain), ou NST, peuvent être définies au minimum comme l’ensemble des études et des procédés de fabrication et de manipulation de structures (électroniques, chimiques…), de dispositifs et de systèmes matériels à l’échelle du nanomètre (nm), ce qui est l’ordre de grandeur de la distance entre deux atomes. Source : https://fr.wikipedia.org/wiki/Nanotechnologie",http://www.science-metrix.com/fr/classification ,
Optoelectronics & Photonics,Optoélectronique et photonique,n/a,Enabling & Strategic Technologies,n/a,"1)L'opto-électronique est à la fois une branche de l'électronique et de la photonique. Elle concerne l'étude des composants électroniques qui émettent ou interagissent avec la lumière. À savoir: un senseur optique qui capte l'information, une carte électronique qui traite selon un logiciel déterminé les émissions dudit senseur et un relais qui produit les effets attendus. 2)La photonique est la branche de la physique concernant l'étude et la fabrication de composants permettant la génération, la transmission, le traitement (modulation, amplification) ou la conversion de signaux optiques. Elle étudie les photons indifféremment comme onde ou comme corpuscule. Le domaine d'étude de la photonique va de l'ultraviolet proche à l'infrarouge lointain, bien que la majorité des applications de la photonique résident dans le domaine du spectre visible. Sources : https://fr.wikipedia.org/wiki/Opto-électronique ; https://fr.wikipedia.org/wiki/Photonique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-P6H6MXR2-K
"Strategic, Defence & Security Studies",Études stratégiques et de sécurité,n/a,Enabling & Strategic Technologies,n/a,"Les études stratégiques sont l'étude des relations entre la guerre, la géographie et la politique. Elles se concentrent sur la puissance militaire des États pour construire une analyse des interactions interétatiques et transnationales. Source : https://fr.wikipedia.org/wiki/Études_stratégiques",http://www.science-metrix.com/fr/classification ,n/a
Engineering,Ingéniérie,n/a,Applied Sciences,Aerospace & Aeronautics ; Automobile Design & Engineering ; Biomedical Engineering ; Chemical Engineering ;  Civil Engineering ; Electrical & Electronic Engineering ; Environmental Engineering ; Geological & Geomatics Engineering ;Industrial Engineering & Automation ; Mechanical Engineering & Transports ; Mining & Metallurgy ; Operations Research,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-18XKSLK9-M
Aerospace & Aeronautics,Aérospatiale et aéronautique,n/a,Engineering,n/a,L'aéronautique inclut les sciences et les technologies ayant pour but de construire et de faire évoluer un aéronef dans l'atmosphère terrestre. Source : https://fr.wikipedia.org/wiki/Aéronautique,http://www.science-metrix.com/fr/classification ,n/a
Automobile Design & Engineering,Conception et génie automobile,n/a,Engineering,n/a,"La conception d'une automobile est le travail effectué par une équipe pluridisciplinaire composée d'ingénieurs, de spécialistes de l'ergonomie, de stylistes intérieurs et extérieurs, de modélistes ou maquettistes et de spécialistes du marketing qui fixent les contraintes et les attentes liées au style, pour mener à la réalisation d'une automobile. Source : https://fr.wikipedia.org/wiki/Conception_d'une_automobile",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-96TKP0GW-N
Biomedical Engineering,Génie biomédical,n/a,Engineering,n/a,"Le génie biomédical est une application des principes et des techniques de l'ingénierie dans le domaine médical visant au contrôle des systèmes biologiques ou au développement d’appareils servant au diagnostic et au traitement des patients. Ce domaine est un mélange de médecine, de biologie, d'ingénierie et de physique. Source :  https://fr.wikipedia.org/wiki/Génie_biomédical",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-KS0J7JST-T
Chemical Engineering,Génie chimique,n/a,Engineering,n/a,"Le génie chimique, ou génie des procédés physico-chimiques, désigne l'application de la chimie physique à l'échelle industrielle. Source : https://fr.wikipedia.org/wiki/Génie_chimique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-G54B2SW7-4
Civil Engineering,Génie civil,n/a,Engineering,n/a,"Le génie civil représente l'ensemble des techniques de constructions civiles. Les ingénieurs civils ou ingénieurs en génie civil s’occupent de la conception, la réalisation, l’exploitation et la réhabilitation d’ouvrages de construction et d’infrastructures dont ils assurent la gestion afin de répondre aux besoins de la société, tout en assurant la sécurité du public et la protection de l’environnement. Très variées, leurs réalisations se répartissent principalement dans cinq grands domaines d’intervention : structures, géotechnique,hydraulique, transport, et environnement. Source : https://fr.wikipedia.org/wiki/Génie_civil",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-CNH04N7C-D
Electrical & Electronic Engineering,Génie électrique et électronique,n/a,Engineering,n/a,"L’électrotechnique se rapporte aux applications pratiques de l'électricité, à la science étudiant ces applications. Elle concerne la production, le transport, la distribution, le traitement, la transformation, la gestion et l’utilisation de l’énergie électrique. Parfois appelée génie électrique, elle remonte à l'invention de la dynamo en 1869. Source : https://fr.wikipedia.org/wiki/Électrotechnique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-HCZD4KL6-Z
Environmental Engineering,Génie de l'environnement,n/a,Engineering,n/a,"Le génie écologique est un ensemble de techniques et une façon de concevoir qui associent l'ingénierie traditionnelle et l'écologie scientifique. Cette association vise à coopérer au mieux avec le vivant, en valorisant les capacités de résilience écologique des écosystèmes, et certaines capacités du végétal et de la faune à façonner et stabiliser ou épurer certains éléments du paysage (sols, pentes, berges, lisières,écotones, zones humides, etc). Source : https://fr.wikipedia.org/wiki/Génie_écologique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-V9VJ9707-4
Geological & Geomatics Engineering,Génie géologique et géomatique,n/a,Engineering,n/a,"La géomatique regroupe l'ensemble des outils et méthodes permettant d'acquérir, de représenter, d'analyser et d'intégrer des données géographiques. La géomatique consiste donc en au moins trois activités distinctes : collecte, traitement et diffusion des données géographiques.Source : https://fr.wikipedia.org/wiki/Géomatique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-8RFHMJ8W-F
Industrial Engineering & Automation,Automatisation et génie industriel,n/a,Engineering,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-HGXM7XR3-Q
Mechanical Engineering & Transports,Génie mécanique et des transports,n/a,Engineering,n/a,"Le génie mécanique désigne l'ensemble des connaissances liées à la mécanique, au sens physique (sciences des mouvements) et au sens technique (étude des mécanismes). Ce champ de connaissances va de la conception d'un produit mécanique au recyclage de ce dernier en passant par la fabrication, la maintenance, etc. Source: https://fr.wikipedia.org/wiki/Génie_mécanique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-QKR26D3K-R
Mining & Metallurgy,Génie minier et métallurgique,n/a,Engineering,n/a,,http://www.science-metrix.com/fr/classification ,
Operations Research,Recherche opérationnelle,n/a,Engineering,n/a,La recherche opérationnelle peut être définie comme l'ensemble des méthodes et techniques rationnelles orientées vers la recherche du meilleur choix dans la façon d'opérer en vue d'aboutir au résultat visé ou au meilleur résultat possible. Source: https://fr.wikipedia.org/wiki/Recherche_opérationnelle,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-8Q64PPC0-F
Information & Communication Technologies,Technologies de l'information & de la communication,n/a,Applied Sciences,Artificial Intelligence & Image Processing ; Computation Theory & Mathematics ; Computer Hardware & Architecture ; Distributed Computing ; Information Systems ; Medical Informatics ; Networking & Telecommunications ; Software Engineering,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-5QZB00Z4-L
Artificial Intelligence & Image Processing,Intelligence artificielle et traitement de l'image,n/a,Information & Communication Technologies,,"1)L'intelligence artificielle est le nom donné à l'intelligence des machines et des logiciels. Elle se veut discipline scientifique recherchant des méthodes de création ou de simulation de l'intelligence. 2)Le traitement d'images est une discipline de l'informatique et des mathématiques appliquées qui étudie les images numériques et leurs transformations, dans le but d'améliorer leur qualité ou d'en extraire de l'information. Sources: https://fr.wikipedia.org/wiki/Intelligence_artificielle"">Intelligence Artificielle  ; https://fr.wikipedia.org/wiki/Traitement_d'images",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-F1LPQBWW-T
Computation Theory & Mathematics ,Théorie du calcul informatique,n/a,Information & Communication Technologies,,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-F1LPQBWW-T
Computer Hardware & Architecture,Architecture et matériel informatiques,n/a,Information & Communication Technologies,n/a,"En informatique, architecture désigne la structure générale inhérente à un système informatique, l'organisation des différents éléments du système (logiciels et/ou matérielset/ou humains et/ou informations) et des relations entre les éléments. Cette structure fait suite à un ensemble de décisions stratégiques prises durant la conception de tout ou partie du système informatique, par l'exercice d'une discipline technique et industrielle du secteur de l'informatique dénommée elle aussi architecture, et dont le responsable est l'architecte informatique. Source: https://fr.wikipedia.org/wiki/Architecture_(informatique)",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-F1LPQBWW-T
Distributed Computing,Informatique distribuée,n/a,Information & Communication Technologies,n/a,"Le calcul distribué ou réparti ou encore partagé, est l'action de répartir un calcul ou un traitement sur plusieurs microprocesseurs et plus généralement toute unité centrale informatique. Le calcul distribué est souvent réalisé sur des clusters de calcul spécialisés, mais peut aussi être réalisé sur des stations informatiques individuelles à plusieurs cœurs. La distribution d'un calcul est un domaine de recherche des sciences mathématiques et informatiques. Elle implique notamment la notion de calcul parallèle. Source: https://fr.wikipedia.org/wiki/Calcul_distribué",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-F1LPQBWW-T
Information Systems,Systèmes informatiques,n/a,Information & Communication Technologies,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-F1LPQBWW-T
Medical Informatics,Informatique médicale,n/a,Information & Communication Technologies,n/a,"L'informatique médicale est l'application des techniques issues de l'informatique au domaine médical. L'informatique médicale est une science à part entière ; aux confluents des sciences de l'information et de la médecine, c'est aussi l'une des technologies nécessaire au développement de l'E-médecine. Elle permet d'affiner et d'accélérer ou automatiser certains moyens d'investigation médicale et de diagnostic. Elle apporte de nouveaux mécanismes et moyens d'interprétation et de raisonnement médical, d'abstraction et d'élaboration des connaissances, de mémorisation et d'apprentissage ; parfois en s'appuyant sur des démarchesOpen Source1, notamment dans le domaine de la « recherche en santé Informatique translationnelle ». Source: https://fr.wikipedia.org/wiki/Informatique_médicale",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-H8KDKL70-Z
Networking & Telecommunications,Réseautique et télécommunications,n/a,Information & Communication Technologies,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-LK41M25C-Z
Software Engineering,Génie logiciel,n/a,Information & Communication Technologies,n/a,"Le génie logiciel (anglais software engineering) est une science de génie industriel qui étudie les méthodes de travail et les bonnes pratiques des ingénieurs qui développent des logiciels. Le génie logiciel s'intéresse en particulier aux procédures systématiques qui permettent d'arriver à ce que des logiciels de grande taille correspondent aux attentes du client, soient fiables, aient un coût d'entretien réduit et de bonnes performances tout en respectant les délais et les coûts de construction. Source: https://fr.wikipedia.org/wiki/Génie_logiciel",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-F1LPQBWW-T
Arts & Humanities,Arts & sciences humaines,Catégorie  Sciences Metrics,n/a,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
Communication & Textual Studies,Communication & études textuelles,n/a,Arts & Humanities,"Communication & Media Studies ; Languages & Linguistics ; Literary Studies ; Historical Studies ; Anthropology ; Archaeology ; Classics ; History ; History of Science, Technology & Medicine ; History of Social Sciences",n/a,http://www.science-metrix.com/fr/classification ,
Communication & Media Studies,Communication et médias,n/a,Communication & Textual Studies,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-5QZB00Z4-L
Languages & Linguistics,Langues et linguistique,n/a,Communication & Textual Studies,n/a,"La linguistique est la discipline s’intéressant à l’étude du langage. Elle se distingue de la grammaire, dans la mesure où elle n'est pas prescriptive mais descriptive. La prescription correspond à la norme, c'est-à-dire ce qui est jugé correct linguistiquement par les grammairiens. À l'inverse, la linguistique descriptive des linguistes se contente de décrire la langue telle qu'elle est et non telle qu'elle devrait être. Source: https://fr.wikipedia.org/wiki/Linguistique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VFRVJ4MG-7
Literary Studies,Études littéraires,n/a,Communication & Textual Studies,n/a,"Une étude littéraire est un travail portant sur le domaine littéraire, que ce soit sur un ou plusieurs auteurs, d'œuvres, ou même d'un genre littéraire. Elle s'appuie en général sur un corpus bibliographique. Source: https://fr.wikipedia.org/wiki/Étude_littéraire",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-0HRVVN8J-G
Historical Studies,Études historiques,n/a,Communication & Textual Studies,"Anthropology ; Archaeology ; Classics ; Archaeology ; Classics ; History ; History of Science, Technology & Medicine ; History of Social Sciences",n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-0HRVVN8J-G
Anthropology,Anthropologie,n/a,Communication & Textual Studies,n/a,"L'anthropologie est la branche des sciences qui étudie l'être humain sous tous ses aspects, à la fois physiques (anatomiques, morphologiques, physiologiques,évolutifs, etc.) et culturels (socio-religieux, psychologiques, géographiques, etc.). Elle tend à définir l'humanité en faisant une synthèse des différentes sciences humaines etnaturelles. Le terme anthropologie vient de deux mots grecs, anthrôpos, qui signifie « homme » (au sens générique), et logos, qui signifie parole, discours. Source: https://fr.wikipedia.org/wiki/Anthropologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-KFFQP1RD-Z
Archaeology,Archéologie,n/a,Communication & Textual Studies,n/a,"L'archéologie est une discipline scientifique dont l'objectif est d'étudier l'Homme depuis la Préhistoire jusqu’à l'époque contemporaine à travers sa technique grâce à l'ensemble des vestiges matériels ayant subsisté et qu’il est parfois nécessaire de mettre au jour (outils, ossements, poteries, armes,pièces de monnaie, bijoux, vêtements, empreintes, traces, peintures, bâtiments, infrastructures, etc.).  Source: https://fr.wikipedia.org/wiki/Archéologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PJQP44ZC-K
Classics,Classiques,n/a,Communication & Textual Studies,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-0HRVVN8J-G
History,Histoire,n/a,Communication & Textual Studies,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-KWJ4HWP7-D
"History of Science, Technology & Medicine","Histoire des sciences, de la technologie et de la médecine",n/a,Communication & Textual Studies,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-THGL5D4M-7
History of Social Sciences,Histoire des sciences sociales,n/a,Communication & Textual Studies,n/a,"Les sciences humaines et sociales sont un ensemble de disciplines étudiant divers aspects de la réalité humaine. On les oppose souvent aux sciences dures en raison de leurs sujets d'investigations. La différence entre les sciences humaines et sociales ne porte pas sur la plus grande exactitude de l'une vis-à-vis de l'autre (les sciences dures sont des sciences expérimentales : selon le principe de perfectibilité deKarl Popper les principes de ces sciences sont régulièrement remis en cause comme c'est le cas pour les sciences sociales) mais au sujet d'investigation : les sciences sociales portent sur l'analyse de l'Homme, de son histoire, de son passé voire de son futur. Source: https://fr.wikipedia.org/wiki/Sciences_humaines_et_sociales",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-BKX4BDH9-8
Philosophy & Theology,Philosophie & théologie,n/a,Arts & Humanities,Applied Ethics ; Philosophy ; Religions & Theology ; Visual & Performing Arts ; Drama & Theater ; Folklore ; Music,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-XDV9G244-5
Applied Ethics,Éthique appliquée,n/a,Philosophy & Theology,n/a,"L'éthique appliquée est une branche de l'éthique qui applique ses principes à un ensemble particulier de circonstances et de pratiques, au regard des critères généraux de l'éthique. Source: https://fr.wikipedia.org/wiki/Éthique_appliquée",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-LJWBB28B-Q
Philosophy,Philosophie,n/a,Philosophy & Theology,n/a,"La philosophie, du grec ancien φιλοσοφία (composé de φιλεῖν, philein : « aimer » ; et de σοφία, sophia : « sagesse »)1, signifie littéralement : « l'amour de la sagesse ». C'est une activité et une discipline existant depuis l'Antiquité en Occident et en Orient, se présentant comme un questionnement, une interprétation et une réflexion sur le monde et l'existence humaine. Source: https://fr.wikipedia.org/wiki/Philosophie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-XDV9G244-5
Religions & Theology,Religions et théologie,n/a,Philosophy & Theology,n/a,"La théologie (en grec ancien θεολογία, littéralement « discours rationnel sur la divinité ou le divin, le Θεός [Theos] ») est un ensemble de champs disciplinaires qui touchent d'une manière ou d'une autre à l'idée de Dieu ou de divin. Selon la tradition dont il est question, les définitions de la théologie peuvent varier grandement. Source: https://fr.wikipedia.org/wiki/Théologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-S60GNGBV-C
Visual & Performing Arts,Arts visuels & arts du spectacle,n/a,Arts & Humanities,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PJQP44ZC-K
"Art Practice, History & Theory","Histoire, théorie et pratique des arts",n/a,Visual & Performing Arts,n/a,"On appelle arts visuels (en anglais : visual arts) les arts qui produisent des objets perçus essentiellement par l'œil. La notion englobe les arts plastiques traditionnels (les anciens beaux-arts dégagés de la notion restrictive d'esthétique, comme du « beau »), auxquels s'ajoutent les techniques nouvelles : la photographie, le cinéma, l'art vidéo et l'art numérique, mais aussi les arts appliqués et les arts décoratifs (art textile,design, marqueterie...) et l'architecture. Source: https://fr.wikipedia.org/wiki/Arts_visuels",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PJQP44ZC-K
Drama & Theater,Théâtre et dramaturgie,n/a,Visual & Performing Arts,n/a,"La dramaturgie est l’art de transformer une histoire, vraie ou imaginaire, en un récit construit, comportant un ou des personnages en action. Source: https://fr.wikipedia.org/wiki/Dramaturgie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PJQP44ZC-K
Folklore,Folklore,n/a,Visual & Performing Arts,n/a,"Le folklore (de l'anglais folk, peuple et lore, traditions) est l'ensemble des productions collectives émanant du peuple et se transmettant d'une génération à l'autre par voie orale (contes, récits, chants, musiques, danses et croyances) ou par l'exemple (rites, savoir-faire). Source: https://fr.wikipedia.org/wiki/Folklore",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PJQP44ZC-K
Music,Musique,n/a,Visual & Performing Arts,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PJQP44ZC-K
Economic & Social Sciences,Sciences économiques & sociales,Catégorie  Sciences Metrics,,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6MNF6MQC-H
